"","Time","1_1","1_2","1_3","2_1","2_2","2_3","3_1","3_2","3_3"
"1",10.1,876.869665871341,895.822312597649,886.350813259874,199.999060928335,200.999051051119,209.998956159183,99.9477323901872,99.9936011132119,99.9740460557177
"2",9.1,854.898458113301,872.882867903053,863.899686864923,199.99624376625,200.996204258237,209.995824698993,99.8800019380526,99.981903332332,99.9361181375335
"3",8.1,814.101531107448,830.356749786445,822.245013673596,199.98497591151,200.984817893057,209.983299792094,99.724745377685,99.94883182505,99.8428512023801
"4",7.1,743.17123021778,756.631819845225,749.92655781947,199.939917186383,200.939285330086,209.933215101542,99.3698811815815,99.8554098206853,99.6139414222557
"5",6.1,632.887868234162,642.534354440942,637.74423391454,199.75988514717,200.757361196985,209.733115033103,98.5641057374577,99.5921155496045,99.0547484977931
"6",5.1,488.041436557552,493.652246540807,490.881304629882,199.042987482478,200.03294694608,208.936514821081,96.7615118345447,98.8548687963077,97.7042503444695
"7",4.1,334.795095775953,337.327459158053,336.088860061366,196.226124619592,197.18682572209,205.809720711732,92.8599063941099,96.8275051880297,94.5308048395881
"8",3.1,205.647404898587,206.526208465568,206.104566792652,185.713244974232,186.568635823764,194.185553525735,84.9870977390976,91.5187967078873,87.5305143398463
"9",2.1,116.086407095512,116.319045198662,116.212706177983,152.938353184387,153.504718073237,158.399771894792,71.1321902344772,79.2320716503601,74.0316001083801
"10",1.1,62.0446125182425,62.084297726143,62.0696979050318,89.6512917505025,89.8274229106279,91.1839081670323,51.7501906123972,57.4259285242265,53.6564680030404
"11",0.1,32.1297955451716,32.1261316467374,32.1306396654442,33.7640320011608,33.7786961008775,33.8047118215896,31.8268530527946,32.2901317171727,31.9826108968414
